id,sample_id,t1k
HG002,SRR14724532,0
HG00438,ERR3988768,1
HG005,SRR14724518,0
HG00621,ERR3988803,1
HG00673,ERR3988814,1
HG00733,ERR3988823,0
HG00735,ERR3988824,1
HG00741,ERR3988826,1
HG01071,ERR3988832,1
HG01106,ERR3988841,1
HG01109,ERR3988842,0
HG01123,,0
HG01175,ERR3988851,1
HG01243,ERR3988858,0
HG01258,ERR3988862,1
HG01358,ERR3988875,1
HG01361,ERR3988876,1
HG01891,ERR3988943,1
HG01928,ERR3988951,1
HG01952,ERR3988958,1
HG01978,ERR3988965,1
HG02055,ERR3988979,0
HG02080,ERR3988986,0
HG02109,SRR11124438,0
HG02145,ERR3988995,0
HG02148,ERR3988996,1
HG02257,ERR3989003,1
HG02486,,0
HG02559,,0
HG02572,ERR3989028,1
HG02622,ERR3989038,1
HG02630,ERR3989040,1
HG02717,ERR3989059,1
HG02723,ERR3989060,0
HG02818,ERR3989080,0
HG02886,ERR3989091,1
HG03098,ERR3989119,0
HG03453,ERR3989166,1
HG03486,ERR3989170,0
HG03492,ERR3989173,0
HG03516,ERR3989174,1
HG03540,ERR3989177,1
HG03579,ERR3989180,1
NA18906,ERR3989364,0
NA19240,ERR3989410,0
NA20129,ERR3989456,0
NA21309,SRR10392718,0
