gene,0-1,1-2,2-3,3-4,4-5,5-6
KIR2DL1,0.14,0.47,1.51,NA,NA,NA
KIR2DL2,0.06,0.33,0.95,NA,NA,NA
KIR2DL3,0.12,0.56,1.69,NA,NA,NA
KIR2DL4,0.30,0.58,1.10,1.45,2.00,NA
KIR2DL5,0.14,0.60,1.42,NA,NA,NA
KIR2DP1,0.30,0.67,1.81,NA,NA,NA
KIR2DS1,0.04,0.17,0.73,NA,NA,NA
KIR2DS2,0.05,0.53,1.12,NA,NA,NA
KIR2DS3,0.13,0.65,1.30,NA,NA,NA
KIR2DS4,0.17,0.67,1.80,NA,NA,NA
KIR2DS5,0.17,0.59,1.21,NA,NA,NA
KIR3DL1,0.08,0.54,1.69,NA,NA,NA
KIR3DL2,0.35,0.37,3.09,NA,NA,NA
KIR3DP1,0.01,0.28,0.63,1.36,NA,NA
KIR3DS1,0.08,0.70,1.13,1.71,NA,NA
