tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	3811	0	live	KIR3DL1	CD158E1, KIR, KIR2DL5B/S1, NKAT-3, NKAT3, NKB1, NKB1B, KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	killer cell immunoglobulin-like receptor 3DL1|CD158 antigen-like family member E|HLA-BW4-specific inhibitory NK cell receptor|KIR antigen 3DL1|KIR2DL5B*00601|KIR2DL5B*00805|KIR2DL5B*011|KIR3DL1*00101|KIR3DL1*00401|KIR3DL1*00501|KIR3DL1*00701|KIR3DL1*063|KIR3DL2*00101|KIR3DL2*00103|KIR3DL2*00202|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1|natural killer-associated transcript 3|p70 NK receptor CL-2/CL-11|p70 killer cell inhibitory receptor|p70 natural killer cell receptor clones CL-2/CL-11	19q13.42	19	NC_000019.10	54816438	54830778	plus	9	604946	
9606	Homo sapiens	2669	0	live	GEM	KIR	GTP binding protein overexpressed in skeletal muscle	GTP-binding protein GEM|GTP-binding mitogen-induced T-cell protein|RAS-like protein KIR|kinase-inducible Ras-like protein	8q22.1	8	NC_000008.11	94249253	94262319	minus	5	600164	
9606	Homo sapiens	3802	0	live	KIR2DL1	CD158A, KIR-K64, KIR221, KIR2DL3, NKAT, NKAT-1, NKAT1, p58.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	killer cell immunoglobulin-like receptor 2DL1|CD158 antigen-like family member A|KIR2DL protein|KIR2DL1*00302|KIR2DL1*00401|KIR2DL1/3DL2|KIR2DS1*00201|MHC class I NK cell receptor|killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1|killer inhibitory receptor 2-2-1|natural killer-associated transcript 1|p58 NK cell inhibitory receptor NKR-K6|p58 NK receptor CL-42/47.11|p58 killer cell inhibitory receptor KIR-K64|p58 natural killer cell receptor clones CL-42/47.11|p58.1 MHC class-I-specific NK receptor	19q13.42	19	NC_000019.10	54769793	54784322	plus	8	604936	
9606	Homo sapiens	100132285	0	live	KIR2DS2	183ActI, CD158J, CD158b, KIR-2DS2, KIR2DL1, NKAT-5, NKAT5, cl-49	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	killer cell immunoglobulin-like receptor 2DS2|CD158 antigen-like family member J|KIR2DS2 Killer-cell Immunoglobulin-like Receptor|MHC class I NK cell receptor|NK receptor 183 ActI|killer cell immunoglobulin-like receptor KIR2DS2|killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2|killer-cell Ig-like receptor|killer-cell immunoglobulin-like receptor two domains short tail 2 protein|natural killer associated transcript 5|natural killer cell inhibitory receptor|p58 killer cell inhibitory receptor KIR-K7a|p58 natural killer cell receptor clone CL-49	19q13.4	19						604953	
9606	Homo sapiens	3809	0	live	KIR2DS4	CD158I, KIR-2DS4, KIR1D, KIR412, KKA3, NKAT-8, NKAT8	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4	killer cell immunoglobulin-like receptor 2DS4|CD158 antigen-like family member I|KIR antigen 2DS4|P58 natural killer cell receptor clones CL-39/CL-17|killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4|killer inhibitory receptor 4-1-2|natural killer-associated transcript 8|p50 killer cell activating receptor KAR-K1d|p58 NK receptor CL-39/CL-17	19q13.42	19	NC_000019.10	54832707	54848575	plus	8	604955	
9606	Homo sapiens	3812	0	live	KIR3DL2	3DL2, CD158K, KIR-3DL2, NKAT-4, NKAT4, NKAT4B, p140	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	killer cell immunoglobulin-like receptor 3DL2|CD158 antigen-like family member K|KIR antigen 3DL2|KIR3DL2*00101|KIR3DL2*00103|KIR3DL2*00103-v|KIR3DL2*00201|KIR3DL2*00301|KIR3DL2*00501|KIR3DL2*00501-v|KIR3DL2*00601|KIR3DL2*00602|KIR3DL2*00701|KIR3DL2*00701-v|KIR3DL2*008-v|KIR3DL2*00901|KIR3DL2*00902-v|KIR3DL2*01001|KIR3DL2*01101|KIR3DL2*01301|KIR3DL2*01901|KIR3DL2*028|KIR3DL2*032|KIR3DL2*040|KIR3DL2*058|MHC class I NK cell receptor|killer Ig receptor|killer cell immunoglobulin-like receptor 2DL2|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2|killer-cell immunoglobulin-like receptor|natural killer-associated transcript 4|p70 NK receptor CL-5|p70 killer cell inhibitory receptor|p70 natural killer cell receptor clone CL-5	19q13.42	19	NC_000019.10	54850443	54867207	plus	9	604947	
9606	Homo sapiens	3106	0	live	HLA-B	AS, B-4901, HLAB	major histocompatibility complex, class I, B	major histocompatibility complex, class I, B|HLA class I antigen HLA-B|HLA class I histocompatibility antigen, B alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class 1 antigen|MHC class I antigen HLA-B alpha chain|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|MHC class I molecule|leukocyte antigen class I-B	6p21.33	6	NC_000006.12	31353875	31357179	minus	8	142830	
9606	Homo sapiens	2064	0	live	ERBB2	CD340, HER-2, HER-2/neu, HER2, MLN 19, MLN-19, NEU, NGL, TKR1, VSCN2, c-ERB-2, c-ERB2, p185(erbB2)	erb-b2 receptor tyrosine kinase 2	receptor tyrosine-protein kinase erbB-2|c-erb B2/neu protein|herstatin|human epidermal growth factor receptor 2|metastatic lymph node gene 19 protein|neuro/glioblastoma derived oncogene homolog|neuroblastoma/glioblastoma derived oncogene homolog|proto-oncogene Neu|proto-oncogene c-ErbB-2|tyrosine kinase-type cell surface receptor HER2|v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2|v-erb-b2 avian erythroblastic leukemia viral oncoprotein 2|v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog	17q12	17	NC_000017.11	39688094	39728658	plus	35	164870	
9606	Homo sapiens	3123	0	live	HLA-DRB1	DRB1, HLA-DR1B, HLA-DRB, SS1	major histocompatibility complex, class II, DR beta 1	major histocompatibility complex, class II, DR beta 1 precursor|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1	6p21.32	6	NC_000006.12	32578775	32589848	minus	6	142857	
9606	Homo sapiens	6774	0	live	STAT3	ADMIO, ADMIO1, APRF, HIES	signal transducer and activator of transcription 3	signal transducer and activator of transcription 3|DNA-binding protein APRF|acute-phase response factor	17q21.2	17	NC_000017.11	42313324	42388442	minus	24	102582	
9606	Homo sapiens	3107	0	live	HLA-C	D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1	major histocompatibility complex, class I, C	HLA class I histocompatibility antigen, C alpha chain|HLA-C antigen|MHC class I antigen heavy chain HLA-C|human leukocyte antigen-C alpha chain|major histocompatibility antigen HLA-C	6p21.33	6	NC_000006.12	31268749	31272092	minus	8	142840	
9606	Homo sapiens	4318	0	live	MMP9	CLG4B, GELB, MANDP2, MMP-9	matrix metallopeptidase 9	matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase	20q13.12	20	NC_000020.11	46008908	46016561	plus	13	120361	
9606	Homo sapiens	3105	0	live	HLA-A	HLAA	major histocompatibility complex, class I, A	HLA class I histocompatibility antigen, A alpha chain|HLA class I histocompatibility antigen, A-1 alpha chain|MHC class I antigen HLA-A heavy chain|leukocyte antigen class I-A	6p22.1	6	NC_000006.12	29942532	29945870	plus	8	142800	
9606	Homo sapiens	4609	0	live	MYC	MRTLC, bHLHe39, c-Myc, MYC	MYC proto-oncogene, bHLH transcription factor	myc proto-oncogene protein|avian myelocytomatosis viral oncogene homolog|class E basic helix-loop-helix protein 39|myc-related translation/localization regulatory factor|proto-oncogene c-Myc|transcription factor p64|v-myc avian myelocytomatosis viral oncogene homolog|v-myc myelocytomatosis viral oncogene homolog	8q24.21	8	NC_000008.11	127735434	127742951	plus	3	190080	
9606	Homo sapiens	3458	0	live	IFNG	IFG, IFI, IMD69	interferon gamma	interferon gamma|IFN-gamma|immune interferon	12q15	12	NC_000012.12	68154768	68159740	minus	4	147570	
9606	Homo sapiens	6647	0	live	SOD1	ALS, ALS1, HEL-S-44, IPOA, SOD, STAHP, hSod1, homodimer	superoxide dismutase 1	superoxide dismutase [Cu-Zn]|Cu/Zn superoxide dismutase|SOD, soluble|epididymis secretory protein Li 44|indophenoloxidase A|superoxide dismutase 1, soluble|superoxide dismutase, cystolic	21q22.11	21	NC_000021.9	31659693	31668931	plus	5	147450	
9606	Homo sapiens	5781	0	live	PTPN11	BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2	protein tyrosine phosphatase non-receptor type 11	tyrosine-protein phosphatase non-receptor type 11|SH2 domain-containing protein tyrosine phosphatase 2|protein-tyrosine phosphatase 1D|protein-tyrosine phosphatase 2C	12q24.13	12	NC_000012.12	112418947	112509918	plus	16	176876	
